Behaviour,DNA,Count
"From Israel, at 01:10:AM, accessed port 443.0, recieved more data in than sent out",6ac248c12402a4b0aae3d391e798ceb906de5d38982792b9dd70e7fb4620900e,1
"From Germany, at 08:10:AM, accessed port 443.0, sent more data out than recieved",5ff8246e600615dbc4e2e00b5d4f30b3e7739451408abf094de2e0554c0a0987,1
"From Canada, at 01:50:AM, accessed port 443.0, recieved more data in than sent out",607f953a940503252dc201e6ff9aa9c0ba5b343af2716f78176de58ff636439e,1
"From Canada, at 12:40:AM, accessed port 443.0, sent more data out than recieved",62bdb9899dd8903a1d7e701da83fd53ac7e5ac82f24fc25e69c00d1340fe08aa,1
"From Canada, at 12:00:AM, accessed port 443.0, sent more data out than recieved",5d84df6b63d8a0ed69182334d0cf5eaf7a6c345c190498d7d3e300f47483a8ee,1
"From Canada, at 09:00:AM, accessed port 443.0, sent more data out than recieved",a36e8e092c8ca35ca3b7b515417bc3af25c7dfcc0af5275e055a161eace80635,1
"From Israel, at 12:20:AM, accessed port 443.0, sent more data out than recieved",a0bfcb18996d026d61d166d1c6990fca2a89d0673181e5afba9e6cf5bee87ab6,1
"From Germany, at 11:10:PM, accessed port 443.0, recieved more data in than sent out",9f410dcac4b5eb31d4990fc1ecc8363ccc5f44fbe4a273cf298e635056e5c707,1
"From United Arab Emirates, at 01:30:AM, accessed port 443.0, recieved more data in than sent out",96051ca09cef679530ba69e83b24b781b34ef37886d12e6eb80718e005535eac,1
"From Austria, at 08:10:AM, accessed port 443.0, sent more data out than recieved",97974b8d3e2061208f8ad9a8179e4e09751e71afc901089c998417723a582ee1,1
"From Israel, at 01:00:AM, accessed port 443.0, sent more data out than recieved",99a1434750d1cbb8cee0862d759ad53d2f8eb6abb19a0b2f87de6b5a2a8a8f0e,1
"From Canada, at 08:00:AM, accessed port 443.0, recieved more data in than sent out",9bd8a6d1043de3b94bd4be122a8625efabb0d8648ca3a2ac2ea64a69aa8a537a,1
"From United States, at 09:20:AM, accessed port 443.0, sent more data out than recieved",9bf273d9d04f930dc9174eb36466285264ecc9739c5501f6efd07174b3b6db56,1
"From Germany, at 01:20:AM, accessed port 443.0, sent more data out than recieved",970b756fdd5ab7a9968a6c7783fbc7bec85a23cec65bc067926aed1939d7d262,1
"From Austria, at 08:40:AM, accessed port 443.0, sent more data out than recieved",88a6defb5705308299866ebbdc778c3256a41087d3ce74e36ec8a4e2c2c21876,1
"From Canada, at 11:00:PM, accessed port 443.0, sent more data out than recieved",898cd2a4f94b8d06a0f4d5e561d9e86dcf5f1d626fb214a62071f0d7f9458da4,1
"From Netherlands, at 11:00:PM, accessed port 443.0, sent more data out than recieved",8972f47b92de3a118366ca53dc1fb3c8f616658da81e2401ac695cbfb881a8d1,1
"From Netherlands, at 08:40:AM, accessed port 443.0, recieved more data in than sent out",8c37546912ca3c8115c791479318caccda337c856f77eec892508de5cc22bd3c,1
"From Germany, at 09:40:AM, accessed port 443.0, sent more data out than recieved",8dd2b432af05fc45d9a3ce6bb851e4fb1605789c6e7cb21e7836dc761db403a5,1
"From Germany, at 01:00:AM, accessed port 443.0, sent more data out than recieved",b3a9b4fd37cab7ecae5294cf5cafdea44e23e4cb7acb240d72847f038a3ddfc6,1
"From Canada, at 12:50:AM, accessed port 443.0, sent more data out than recieved",af0a943ef38bbeec3d88d38a4e0972ab8f411a08602da5518ccf26850b1b11cf,1
"From Netherlands, at 09:50:AM, accessed port 443.0, sent more data out than recieved",bef340ad25932e5e9abe100040016572ac4bd936135fae08d36f336777ecc3c0,1
"From Netherlands, at 01:30:AM, accessed port 443.0, recieved more data in than sent out",bd55927dd8a47c5ec3757cab07bfc132570a18e8c66a63913118691b3fb2b03e,1
"From Austria, at 08:20:AM, accessed port 443.0, sent more data out than recieved",bc6ce15596c946ece36b7d33c0caa0b5920fb1d88fffeef1de3cfeb6406d6372,1
"From Germany, at 11:50:PM, accessed port 443.0, recieved more data in than sent out",bfc746d4179d7ee9cc7dce8943ebee1eab65cdc97166320f9b40ddd9d40de72e,1
"From Austria, at 12:30:AM, accessed port 443.0, sent more data out than recieved",c32da6463e675958112680fa4d3c97ebfd8a2d0cb9dbb5a3301fe7ec2ec625a9,1
"From Germany, at 12:30:AM, accessed port 443.0, sent more data out than recieved",c31800263dc2232089b48e26d58fb37f96717b6b0b9d8eb161b4ea07f1c74c2a,1
"From Israel, at 12:00:AM, accessed port 443.0, sent more data out than recieved",b08dc58f9117a6503013dbe29ab9359f08a41777ec2714d5c591e2e037dea5ac,1
"From Canada, at 12:10:AM, accessed port 443.0, recieved more data in than sent out",afefb18e25186584f7729fa3e6438c8a620172c8ba15d5e6f96acadd44bdd39f,1
"From Canada, at 01:00:AM, accessed port 443.0, sent more data out than recieved",b7653aa86f0060f77ba9ed442ef1b992fe419269d6175fdef5f21dea111b34de,1
"From Germany, at 12:10:AM, accessed port 443.0, sent more data out than recieved",b849fd9e2b1eb5f172e8a2eefab88319d34b55440de12413f95db77d4f72563e,1
"From Israel, at 09:20:AM, accessed port 443.0, sent more data out than recieved",b85eb1738fd8b51a4eb3d9c7978ec86c368c6720ed7d2f0bc8b457271ec64d26,1
"From United States, at 09:20:AM, accessed port 443.0, recieved more data in than sent out",b9e96b75d133f7312301eba49b8617929fc0f7d5a0560129fb46e507f78d9e8e,1
